region,model,MEC,MAC,SSA,AE,lifetime_BC_OA,precip,emi_BC_OA,abs550aer
west_russia,NorESM2-met2010_AP3-CTRL,3.535378531037649,0.6592969886264131,0.9489601818726594,1.0362416711590732,3.3738927115653627,1.358841641405955,6.370772994030942e-11,0.009450923762075212
west_russia,SPRINTARS-T213_AP3-CTRL2016-PD,6.463098658187294,,,,3.4742806308321885,1.9861241178281568,1.3801542569579954e-11,
west_russia,TM5-met2010_AP3-CTRL2019,4.819938475652738,0.9756664953843983,0.9411000554089975,1.2487579784141958,,1.5357253177685197,2.3100454217761815e-12,0.012493624547692213
west_russia,TM5_AP3-CTRL2016,5.044870268225839,1.1533511950478272,0.9393953279595715,1.421443950345282,3.83920999895315,1.5357253177685197,3.8193522895734553e-11,0.013522885150259994
boreal_na_west,CAM5-ATRAS_AP3-CTRL,3.298059080095176,0.3400441632731141,0.9143427304918221,2.0290258505310597,1.4079652471236235,2.3148570294505273,8.561674476613124e-11,0.0035794977148311453
boreal_na_west,CAM5.3-Oslo_AP3-CTRL2016-PD,7.420798661037351,0.3353452687048689,0.9668802591386565,0.6746630867805347,2.8119783526464177,2.222374815469219,4.6422985953823726e-11,0.0037384580343487175
boreal_na_west,CAM5_CTRL2016,9.287225612122576,1.4778341326146793,0.9332765658988115,,,2.084795741981407,4.2938947523691025e-13,0.005519613086124923
boreal_na_west,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5.802974369621952,0.5840738385710535,0.9322133739974641,1.4251755681145744,,2.4415086523646456,4.124039803723794e-12,0.010673704158109618
boreal_na_west,ECHAM6-HAM2_AP3-CTRL2016-PD,4.573859688172092,,,,1.6737064879051267,0.0027275096566343865,3.678920448029979e-10,
boreal_na_west,ECHAM6-SALSA_CTRL2016-PD,4.719360373706352,,,,2.0846088370217175,2.664550347728465,3.678925165553941e-10,
boreal_na_west,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,3.1789861865719056,0.39462507583582573,0.9050037986062807,1.9232035438514705,1.2819031548221098,3.0484369374568967,1.3217726874380456e-10,0.005681853555701773
boreal_na_west,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,4.8094093113260215,0.8346113053212348,0.8771349140908244,1.8428530686672793,1.292011761193519,1.2426488290328084,1.362085353417258e-10,0.011891391341700624
boreal_na_west,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5.24666167724811,,,,1.8080811303010342,1.6777958126810129,2.1814239336444183e-10,
boreal_na_west,GEOS-i33p2-met2010_AP3-CTRL,7.360587840219187,0.3002875546866196,0.9695075269163593,1.771525216684075,1.5071946009355799,2.321312853676832,1.2937176588476928e-10,0.004994295100233213
boreal_na_west,GFDL-AM4-met2010_AP3-CTRL,9.700174121321048,0.7665146318946796,0.9371388330655523,1.0309104336592796,,2.885297310486908,3.776521385659365e-12,0.011322251607785664
boreal_na_west,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,12.473889034974206,2.0350558081964767,0.8803633671459756,1.68558964645531,1.6601729998079586,1.4855830484114385,1.1209988462324234e-10,0.03250617168757603
boreal_na_west,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,11.128601983843794,0.5696767338718549,0.9557639657564501,0.6369782735469087,1.5062709744635079,1.5473279077747466,1.3646578876873143e-10,0.010103771591748755
boreal_na_west,INCA_AP3-CTRL,5.519703953566264,0.5698355911125323,0.9586736458293501,0.5065757379542634,1.2162591430936516,2.666105509817603,1.0556016658450691e-10,0.004916091115531415
boreal_na_west,MIROC-SPRINTARS_AP3-CTRL,10.77237333465997,0.24424619459319397,0.9837450476389653,0.7417493582296872,1.3389692998087939,2.234599974296419,2.297198010269437e-10,0.00620184571999767
boreal_na_west,NorESM2-met2010_AP3-CTRL,5.307647601439005,0.3150956933379916,0.949582907259429,1.535624595769012,1.4819578570798022,2.5226301097145627,1.9531611008285395e-10,0.007806147752543547
boreal_na_west,SPRINTARS-T213_AP3-CTRL2016-PD,10.485898286009704,,,,1.3945764002837913,1.558870950401074,1.224548830894811e-10,
boreal_na_west,TM5-met2010_AP3-CTRL2019,5.1528147916864295,0.59071768525367,0.9292545665647541,1.5090170097664573,,2.713895708038614,4.124039803723794e-12,0.011306257649486118
boreal_na_west,TM5_AP3-CTRL2016,5.280910389780177,0.5799260802267776,0.9261896981214035,1.5674048395506162,1.5932184187506127,2.713895708038614,2.100859652212648e-10,0.016689294638083652
outflow_af,CAM5-ATRAS_AP3-CTRL,5.032349905259141,0.42211413633228195,0.9478416661435639,1.3672771275873208,,0.3279149000350192,1.8086861773996075e-11,0.02806959174146683
outflow_af,CAM5.3-Oslo_AP3-CTRL2016-PD,5.783584312324092,0.570037339692191,0.948525968064557,0.5216355224594176,,0.4081146250557113,2.0372323820808156e-13,0.02197532613012375
outflow_af,CAM5_CTRL2016,4.895528281611604,1.663764331661745,0.9104639884382124,2.1211876590660728,,0.4654782150714474,1.7133282152209586e-14,0.027391410418949776
outflow_af,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5.234893323195364,1.0494929358914837,0.8996651824762697,1.0301058551488693,,0.5386061085216696,3.335539995863273e-14,0.03618039499921502
outflow_af,ECHAM6-HAM2_AP3-CTRL2016-PD,4.875009315209182,,,,,0.0002762246883702575,3.464147762092058e-14,
outflow_af,ECHAM6-SALSA_CTRL2016-PD,5.417856421457649,,,,,0.3518412859937238,3.46487919192092e-14,
outflow_af,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,5.7435948037401925,1.156511735204027,0.907440630471857,0.9708286239787656,,0.3134027028331607,7.164383675101608e-14,0.026478564328151353
outflow_af,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,5.696040301779222,1.6708904152735995,0.8631159381862437,1.076580513259748,,0.1572784499758304,7.822261309369736e-14,0.03990485595993692
outflow_af,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4.34540241576709,,,,,0.2717393251067635,4.113732132028862e-13,
outflow_af,GEOS-i33p2-met2010_AP3-CTRL,5.620403551104205,0.5554478469038236,0.9565198190500223,1.1347807235186673,,0.6740972717096594,8.036877181123678e-14,0.011788829257224822
outflow_af,GFDL-AM4-met2010_AP3-CTRL,6.661359652643507,1.3287950841531049,0.8972575194353956,0.8754341628569859,,0.5032118732001816,1.5374762603776762e-14,0.03391516285963267
outflow_af,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,7.931187951407527,3.2416641320409076,0.8095665149951201,0.8051154948418912,,0.5680566902141282,6.328896995461428e-14,0.07129263017622246
outflow_af,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,12.114698455848135,1.0790418531415482,0.9519773766319456,0.37368155002592596,,0.6364034953273886,-9.04623693965042e-12,0.022858698655053505
outflow_af,INCA_AP3-CTRL,4.288380329442278,0.9674775193662255,0.9497375475938499,0.33378635036695375,,0.2831004246692935,3.7258489562248264e-14,0.010674426014579476
outflow_af,MIROC-SPRINTARS_AP3-CTRL,4.211968577498698,0.4860897972470992,0.9589669702366209,0.9305972166929297,,0.6379467975334008,1.5628201219771642e-12,0.008522353752293379
outflow_af,NorESM2-met2010_AP3-CTRL,5.7063631546566596,0.5613554172172559,0.9493706243676754,0.938236252441531,,0.17284041903086647,2.693258511332112e-13,0.02295098677425033
outflow_af,SPRINTARS-T213_AP3-CTRL2016-PD,5.1685912380972,,,,,0.6202158561060109,3.693054165843175e-14,
outflow_af,TM5-met2010_AP3-CTRL2019,5.115180922507165,1.013338092134533,0.9064102816772494,1.1260241483837181,,0.7701698587490217,3.335539995863273e-14,0.029605079962817242
