config,region,MAC_X_COL,INTERCEPT_0,POLDER_HOMOGENIZE,SSA_POLDER_HOMOGENIZE,LIFETIME_MAX,INCLUDE_AMAZON_SOA,mac_r2,mac_n,mac_F,mac_b,MAC_c,AAOD_obs,AAOD_MAE,n_aaod_models
LIFETIME_MAX=None,amazon,1-SSA,True,True,True,,True,0.7904473738955273,17,7.963813210218452,0.0,0.6279105412809789,0.028754374385172737,0.014961253626722314,24
LIFETIME_MAX=None,boreal_na_west,1-SSA,True,True,True,,True,0.7515524762201028,17,7.502729593792726,0.0,0.8218709085377952,0.036665849409362135,0.025661092673251007,24
LIFETIME_MAX=None,indonesia_peatland,1-SSA,True,True,True,,True,0.6487165815721769,17,30.218393077379623,0.0,3.4142858267158935,0.033107236200328544,0.022026342161962864,24
INCLUDE_AMAZON_SOA=False,africa,1-SSA,True,True,True,15.0,False,0.8903669969620738,13,6.650839663490049,0.0,0.8809927589161803,0.07329895258195875,0.03724818183691227,24
INCLUDE_AMAZON_SOA=False,amazon,1-SSA,True,True,True,15.0,False,0.9115767151818962,13,6.934323006494334,0.0,0.5467399093236098,0.028754374385172737,0.014961253626722314,24
INCLUDE_AMAZON_SOA=False,boreal_na_west,1-SSA,True,True,True,15.0,False,0.8904457228561758,13,6.198233943649021,0.0,0.6789726457436494,0.036665849409362135,0.025661092673251007,24
INCLUDE_AMAZON_SOA=False,indonesia_peatland,1-SSA,True,True,True,15.0,False,0.6325571034037156,14,31.890711899996823,0.0,3.6032361272560713,0.033107236200328544,0.022026342161962864,24
theory:1-SSA+INTERCEPT_0,africa,1-SSA,True,True,True,15.0,True,0.8903669969620738,13,6.650839663490049,0.0,0.8809927589161803,0.07329895258195875,0.03724818183691227,24
theory:1-SSA+INTERCEPT_0,amazon,1-SSA,True,True,True,15.0,True,0.9115767151818962,13,6.934323006494334,0.0,0.5467399093236098,0.028754374385172737,0.014961253626722314,24
theory:1-SSA+INTERCEPT_0,boreal_na_west,1-SSA,True,True,True,15.0,True,0.8904457228561758,13,6.198233943649021,0.0,0.6789726457436494,0.036665849409362135,0.025661092673251007,24
theory:1-SSA+INTERCEPT_0,indonesia_peatland,1-SSA,True,True,True,15.0,True,0.6325571034037156,14,31.890711899996823,0.0,3.6032361272560713,0.033107236200328544,0.022026342161962864,24
