region,model,MEC,AE,lifetime,inv_lifetime,precip,AOD
boreal_na,CAM5-ATRAS_AP3-CTRL,3333.6394869211363,2.0249245781733514,6.672571635496418,0.14986725577890378,2.348466078706778,0.049073166148378165
boreal_na,CAM5.3-Oslo_AP3-CTRL2016-PD,7148.077756582342,0.6675535388716679,10.635852553824364,0.09402161180209546,2.176891907991766,0.10353566721516687
boreal_na,CAM5_CTRL2016,8635.389144865694,,89.09376021010736,0.01122413059726885,2.1580339307352023,0.0742965865720499
boreal_na,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5692.206185844431,1.4277259575762873,65.55020792481069,0.015255481739234895,2.3431547657613554,0.15873595340016847
boreal_na,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,3175.191028563189,1.9118016016794144,12.133725232642917,0.08241492046562392,3.1391819323589694,0.057206969016308486
boreal_na,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,4818.138759636918,1.8257682363871703,10.398337067327708,0.09616922335996099,1.2902643584829294,0.09996342289913736
boreal_na,GFDL-AM4-met2010_AP3-CTRL,9679.426746404033,1.0252580530082722,75.5699175197451,0.01323277876727492,2.8668477474827707,0.18842031998504152
boreal_na,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,12484.41163593621,1.6788817538666916,57.97401635261199,0.017249106805327374,1.4379865964573149,0.26343219947355984
boreal_na,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,11463.304728420408,0.6358728257859543,9.819913152782165,0.10183389450004263,1.4957759650810682,0.2245552379767315
boreal_na,INCA_AP3-CTRL,5581.900075426566,0.5112035900808124,60.79520049050353,0.016448666867316348,2.547377974348357,0.12542445283801384
boreal_na,MIROC-SPRINTARS_AP3-CTRL,10037.81582731681,0.7635575155196418,20.350414195861536,0.04913904898325658,2.1924236622902478,0.3553755624766848
boreal_na,NorESM2-met2010_AP3-CTRL,5189.581599314962,1.5182650997685858,73.29159932212342,0.013644128511985482,2.5088135885843403,0.17042892261430298
boreal_na,TM5-met2010_AP3-CTRL2019,5071.74985534152,1.4949248067793535,66.79256271573773,0.014971726781257024,2.5053093900605536,0.16527126453123073
boreal_na,TM5_AP3-CTRL2016,5301.218432321272,1.5509663176287216,10.023056790993069,0.09976996248276486,2.5053093900605536,0.23768387123156856
eastern_siberia,CAM5-ATRAS_AP3-CTRL,4284.488510690756,1.776137842402741,8.652617504386063,0.11557196414762286,3.5631451831746856,0.039855990025419126
eastern_siberia,CAM5.3-Oslo_AP3-CTRL2016-PD,7213.2740906845875,0.6612408943069711,15.753501782520939,0.06347795009675468,2.436085316953094,0.2080600258170014
eastern_siberia,CAM5_CTRL2016,4787.5534769046,,178.41161837571423,0.0056050161368645605,3.1461191091729037,0.07791489913600373
eastern_siberia,EC-Earth3-AerChem-met2010_AP3-CTRL2019,6045.591532654462,1.2609800103653808,75.78423408399544,0.013195356687139573,3.206483037770177,0.15126766389143184
eastern_siberia,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,5266.361530828598,1.616442644169398,23.163133972536556,0.04317205094896283,4.471327717263599,0.06341380273137903
eastern_siberia,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,5280.046438239569,1.690963344086578,23.055026212031482,0.043374489831555285,1.6314302063073454,0.09126426058097088
eastern_siberia,GFDL-AM4-met2010_AP3-CTRL,11238.991832654969,0.8857373187066032,70.46901148171474,0.014190634705575222,3.4148938916705376,0.18326141661842896
eastern_siberia,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,16113.738530476388,1.425730320128738,32.76651792219589,0.03051895847994897,2.892891253675407,0.23353544812689359
eastern_siberia,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,17395.800902361614,0.44410463019066804,8.45921812796798,0.11821423503595288,2.8725829104311775,0.23281311682081848
eastern_siberia,INCA_AP3-CTRL,4382.505603144017,0.3999034411837676,56.45006859584214,0.01771477032489657,3.610070957168045,0.12165314180405326
eastern_siberia,MIROC-SPRINTARS_AP3-CTRL,8177.2261154108355,0.8300222270582118,76.12325765966278,0.013136589667127363,3.4408532757240855,0.22325666705019784
eastern_siberia,NorESM2-met2010_AP3-CTRL,4595.887018597158,1.3999825199363332,66.04335627328247,0.015141568454850702,3.7296978418771394,0.1118692116813268
eastern_siberia,TM5-met2010_AP3-CTRL2019,5356.216631137958,1.3257312485835622,75.96562685101507,0.013163848459530452,2.6812625494812665,0.16135686179289793
eastern_siberia,TM5_AP3-CTRL2016,5289.593962351587,1.4682628007454113,17.824242059541568,0.05610336734990007,2.6812625494812665,0.21084908858376206
west_russia,CAM5-ATRAS_AP3-CTRL,5515.605435328354,1.6559578636517047,6.3639884026050995,0.15713416441655517,1.0567614923398256,0.14925361639372137
west_russia,CAM5.3-Oslo_AP3-CTRL2016-PD,5782.292876291713,0.45603508360429823,19.744505621194612,0.05064700120556862,1.456086996462429,0.24072792898905143
west_russia,CAM5_CTRL2016,3460.9819880998703,,53.40942723666707,0.018723286351093313,1.2470073595182094,0.11849403464442437
west_russia,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5082.53952895382,1.2076832665097914,53.81332121465167,0.018582759387980898,1.44010620139072,0.193251116436686
west_russia,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,6342.823943426164,1.3437521804972583,15.379711882387218,0.06502072390219454,0.9675506795012659,0.09839603193408834
west_russia,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,6314.021390140802,1.290600404403222,16.90421461838107,0.05915684476181662,0.43576500139575747,0.12931686460282033
