region,model,MEC_model,MEC_c,tau_model,tau_c_days,E_model,E_c,AOD_model,AOD_c,dAOD_E,dAOD_tau,dAOD_MEC,dAOD_cross,dAOD_total,pct_E,pct_tau,pct_MEC,pct_cross
se_asia,CAM5_CTRL2016,7731.638011898378,7958.307260386864,37.854149691138794,8.573004668622875,1.38895157543222e-11,3.828529837419547e-11,0.15350711314579024,0.22568336,-0.1438077397017245,0.7708227729471271,-0.006427934512533564,-0.6927633465680283,-0.07217625,8.91100493626352,47.7638098544832,0.3983051001981526,42.926880109055126
se_asia,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5927.661072805499,7958.307260386864,36.39551632766944,8.573004668622875,5.521761523829497e-11,3.828529837419547e-11,0.2266195929948487,0.22568336,0.09981226075346089,0.7324244175181278,-0.05758549427829418,-0.7737149589366462,0.00093622506,6.00000197556571,44.028137614435856,3.461629631725506,46.51023077827293
se_asia,ECHAM6-HAM2_AP3-CTRL2016-PD,4048.0097454546776,7958.307260386864,10.229491758254204,8.573004668622875,9.738808718973928e-11,3.828529837419547e-11,0.19155386245600708,0.22568336,0.34839786048543947,0.043606832000554936,-0.1108890443592025,-0.315245148515891,-0.0341295,42.58419526553527,5.330003594843061,13.553816637166843,38.531984502454826
se_asia,ECHAM6-SALSA_CTRL2016-PD,5108.510340222628,7958.307260386864,9.672287879840338,8.573004668622875,9.523336066663741e-11,3.828529837419547e-11,0.2051184593544986,0.22568336,0.3356962244776562,0.028938504026167357,-0.08081514408764649,-0.3043844832647107,-0.020564899,44.76938431213242,3.8593195684031585,10.777732902804862,40.593563216659554
se_asia,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,5695.621739915982,7958.307260386864,7.746972176837289,8.573004668622875,7.436262468512163e-11,3.828529837419547e-11,0.160154711283279,0.22568336,0.2126678546081747,-0.021745210283715927,-0.06416571478059825,-0.19228557565534887,-0.065528646,43.32517778076153,4.429983568310387,13.071984975919335,39.172853675008746
se_asia,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,5358.096585550222,7958.307260386864,7.309677420597195,8.573004668622875,7.685382505265413e-11,3.828529837419547e-11,0.1660325521035053,0.22568336,0.22735292946644609,-0.033256944416415656,-0.0737373245294438,-0.1800094690933558,-0.05965081,44.201415832515416,6.465736038320065,14.335835265250488,34.99701286391403
se_asia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5999.306105340129,7958.307260386864,4.994810983418146,8.573004668622875,1.3294503960389187e-10,3.828529837419547e-11,0.1729383284796145,0.22568336,0.5579982261320662,-0.09419553697270068,-0.05555376928537205,-0.4609939492042471,-0.05274503,47.743511710635126,8.059569926807084,4.7532983264687525,39.44362003608904
se_asia,GFDL-AM4-met2010_AP3-CTRL,7900.762483039748,7958.307260386864,28.153745788562635,8.573004668622875,3.7820684590323414e-11,3.828529837419547e-11,0.19556195319763073,0.22568336,-0.00273879543583395,0.5154607565662385,-0.001631866972658074,-0.5412114951100856,-0.030121401,0.2581229655726272,48.58057574521762,0.15379839505036533,51.00750289415939
se_asia,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,18565.36015002793,7958.307260386864,8.065506914905516,8.573004668622875,6.796161949095988e-11,3.828529837419547e-11,0.2902391884050448,0.22568336,0.17493534554566448,-0.013359819962096587,0.30079705032884513,-0.397816752109465,0.064555824,19.724160186448973,1.5063349729156121,33.91521127872225,44.85429356191315
se_asia,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,19844.979300693565,7958.307260386864,3.7910055762817403,8.573004668622875,7.526080625180836e-11,3.828529837419547e-11,0.2496429326596318,0.22568336,0.21796243617416033,-0.12588557577767567,0.3370847609746955,-0.4052020442875925,0.023959577,20.067714681426192,11.590234820071899,31.035259677919107,37.30679082058278
