region,model,SSA,1-SSA,MAC,AE,lifetime,inv_lifetime,precip
amazon,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8513336755505001,0.1486663244494999,1.1801039238913482,1.193557228976895,1.7458263615009126,0.5727946501737351,0.6520908765184363
amazon,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,0.8632542915723499,0.1367457084276501,0.8628052348277611,1.4571109650296392,1.2595316626251427,0.7939459004276072,2.540520111624233
amazon,GEOS-i33p2-met2010_AP3-CTRL,0.9453430632140349,0.05465693678596506,0.4072826235464964,1.7092681592231467,1.382475515723391,0.7233401160647263,2.1181839992657685
amazon,GISS-ModelE2p1p1-OMA_AP3-CTRL,0.9575069304443112,0.04249306955568877,0.8894362055694858,0.4159077600196742,1.4265001741993244,0.7010163882814011,2.2124942775614658
amazon,INCA_AP3-CTRL,0.9402513100869294,0.059748689913070585,0.7393976690448891,0.851215871076137,1.5246178000636215,0.6559020890076651,2.1270423562093868
amazon,MIROC-SPRINTARS_AP3-CTRL,0.9712898131396716,0.028710186860328446,0.34750151828258763,1.3439995709852406,1.233994057959826,0.8103766736553897,2.5070044926594743
amazon,NorESM2-met2010_AP3-CTRL,0.9198425964013502,0.08015740359864976,0.40627970327359886,1.7691986807299975,2.7326792259768258,0.3659412310431493,1.1690361970851502
amazon,SPRINTARS-T213_AP3-CTRL2016-PD,0.9432558788406114,0.05674412115938865,0.34531305693956227,1.0320875200785173,2.9825982064944574,0.3352781470271625,0.19323366147071355
amazon,TM5_AP3-CTRL2016,0.8874955329362505,0.1125044670637495,0.7966145198067396,1.777888853596897,1.7081185011900932,0.5854394758345352,2.8960835669547755
boreal_na_west,CAM5-ATRAS_AP3-CTRL,0.914667110516313,0.085332889483687,0.342371820672176,2.1140558569147148,1.4037307468979594,0.7123873308395178,2.348466078706778
boreal_na_west,CAM5.3-Oslo_AP3-CTRL2016-PD,0.9661548060504918,0.033845193949508245,0.35189272958944856,1.5266428939261465,2.719943307468081,0.36765472179303327,2.176891907991766
boreal_na_west,ECHAM6-SALSA_CTRL2016-PD,0.8893496635858614,0.11065033641413857,0.5637132868169537,1.9767772804385215,1.7097211794141802,0.5848906898039601,2.8404332459873416
boreal_na_west,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.9016366535681203,0.09836334643187972,0.4076837559262622,1.9924442550389216,1.262147810435671,0.7923002296021239,3.1391819323589694
boreal_na_west,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8786515153879727,0.1213484846120273,0.825589139184964,1.7660158354300937,1.2623337369965368,0.7921835333176582,1.2902643584829294
boreal_na_west,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,0.8585533972548404,0.14144660274515963,0.8118997990402487,1.5075430846733833,1.6017117727116972,0.6243320533924781,1.59951847763934
boreal_na_west,GEOS-i33p2-met2010_AP3-CTRL,0.9688796027212677,0.03112039727873228,0.30732058633978926,1.7464346650795568,1.5211449856510217,0.657399530901401,2.2846980372224692
boreal_na_west,GISS-ModelE2p1p1-OMA_AP3-CTRL,0.9560973674307975,0.04390263256920246,0.581766206233412,0.6358728257859543,1.45730046171081,0.6862002903821506,1.4957759650810682
boreal_na_west,INCA_AP3-CTRL,0.9588130067024284,0.041186993297571584,0.5433565394991625,0.923378238338357,1.211546639701725,0.8253912538160261,2.547377974348357
boreal_na_west,MIROC-SPRINTARS_AP3-CTRL,0.9815808618106439,0.018419138189356143,0.254193940062321,1.2389256418730483,1.3969823331803777,0.7158286660099663,2.1924236622902478
boreal_na_west,NorESM2-met2010_AP3-CTRL,0.9487789980163998,0.051221001983600245,0.3224080115049847,1.783883098822032,1.4671266985707057,0.6816043910687559,2.5088135885843403
boreal_na_west,SPRINTARS-T213_AP3-CTRL2016-PD,0.9802280268657723,0.01977197313422774,0.26767745368526663,0.6036806593546484,1.3865008114394008,0.721240111617278,1.365118978939347
boreal_na_west,TM5_AP3-CTRL2016,0.9257792700214474,0.07422072997855256,0.5951118172022801,1.954713114864286,1.5386508789063804,0.6499200135060952,2.5053093900605536
indonesia_peatland,CAM5-ATRAS_AP3-CTRL,0.940993617154535,0.059006382845465,1.0863756587357902,1.226922485158175,4.1722375233159115,0.2396795471043182,2.532357028475762
