region,model,MEC,AE,lifetime,inv_lifetime,precip,AOD,ensemble
boreal_na,INCA_AP3-CTRL,5769.533998054711,0.5112035900808124,4.909041678758099,0.20370574654664217,2.547377974348357,0.12542445283801384,paper
boreal_na,SPRINTARS-T213_AP3-CTRL2016-PD,10001.887392833576,0.26067103184467344,4.288803313734603,0.23316527405152096,1.365118978939347,0.23226799816946045,paper
boreal_na,TM5-met2010_AP3-CTRL2019,4979.529648469406,1.4949248067793535,6.331300017612355,0.15794544520370363,2.5053093900605536,0.16527126453123073,paper
eastern_siberia,ECHAM6-SALSA_CTRL2016-PD,3767.608310784718,1.9529707095598758,6.04849422389231,0.16533040505352137,3.9083549046918913,0.12415117677195096,paper
eastern_siberia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4475.869445111011,1.1659848567812072,2.513897829860579,0.3977886404617566,1.6461114786961415,0.11545432353591402,paper
eastern_siberia,TM5_AP3-CTRL2016,5341.84329397401,1.4682628007454113,5.387251265781045,0.18562341919186867,2.6812625494812665,0.21084908858376206,paper
eastern_siberia,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5974.8899878525535,1.2609800103653808,4.641727786687357,0.21543701956586855,3.206483037770177,0.15126766389143184,paper
eastern_siberia,INCA_AP3-CTRL,4358.095469393074,0.3999034411837676,2.3149269919883833,0.4319790660616299,3.610070957168045,0.12165314180405326,paper
eastern_siberia,SPRINTARS-T213_AP3-CTRL2016-PD,8547.782947727788,0.31670522021016,3.9351482408990694,0.25412003278726,1.4875238588448485,0.2803466610421499,paper
eastern_siberia,TM5-met2010_AP3-CTRL2019,5232.700267367041,1.3257312485835622,5.097196091765579,0.1961862918351288,2.6812625494812665,0.16135686179289793,paper
outflow_af,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4446.116670775657,1.1691481971111173,3.2976300556408464,0.30324808517845236,0.2717393251067635,0.3079867901486833,paper
outflow_af,TM5_AP3-CTRL2016,4988.865601149805,1.174793476058925,2.2391070313835124,0.44660660968141136,0.7701698587490217,0.275777374115579,paper
outflow_af,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5451.6604019130455,1.0301058551488693,2.3538192219127954,0.42484146220344193,0.5386061085216696,0.341076844480703,paper
outflow_af,INCA_AP3-CTRL,4199.9075544767375,0.33378635036695375,3.574037470273239,0.2797956116345778,0.2831004246692935,0.2038865488056708,paper
outflow_af,SPRINTARS-T213_AP3-CTRL2016-PD,5032.642560213252,0.430746127731694,5.75151006808473,0.17386738233303708,0.6202158561060109,0.40100198254063113,paper
outflow_af,TM5-met2010_AP3-CTRL2019,5177.731233153642,1.1260241483837181,2.174389207104464,0.45989926584102897,0.7701698587490217,0.3001788943581959,paper
